Sample,PCoA1,PCoA2,Time,Tax
CXD_0204_FDSW210423206-1r,0.259416254,0.052966945,Feb,Nucleocytoviricota
CXD_0209_FDSW210423211-1r,-0.077687191,-0.023076955,Feb,Nucleocytoviricota
CXD_0210_FDSW210423212-1r,0.067779492,-0.048758827,Feb,Nucleocytoviricota
CXD_0213_FDSW210423215-1r,0.396225387,0.225299636,Feb,Nucleocytoviricota
CXD_0214_FDSW210423216-1r,0.419784771,0.250961684,Feb,Nucleocytoviricota
CXD_0215_FDSW210423217-1r,0.217312611,0.162972474,Feb,Nucleocytoviricota
CXD_0801_FDSW210423161-1r,0.326059921,-0.078386954,Aug,Nucleocytoviricota
CXD_0802_FDSW210423162-1r,-0.183831091,-0.121216463,Aug,Nucleocytoviricota
CXD_0803_FDSW210423163-1r,0.123062016,-0.279724405,Aug,Nucleocytoviricota
CXD_0804_FDSW210423164-1r,0.039234922,-0.220109511,Aug,Nucleocytoviricota
CXD_0805_FDSW210423165-1r,0.181342655,-0.09829439,Aug,Nucleocytoviricota
CXD_0807_FDSW210423167-1r,0.051764665,-0.038221129,Aug,Nucleocytoviricota
CXD_1001_FDSW210423173-1r,0.24373883,-0.051102217,Oct,Nucleocytoviricota
CXD_1003_FDSW210423175-1r,0.042281344,0.005645203,Oct,Nucleocytoviricota
CXD_1004_FDSW210423176-1r,0.19362512,-0.122405553,Oct,Nucleocytoviricota
CXD_1007_FDSW210423179-1r,-0.059496435,-0.081884746,Oct,Nucleocytoviricota
CXD_1009_FDSW210423181-1r,-0.061705027,-0.012102616,Oct,Nucleocytoviricota
CXD_1015_FDSW210423187-1r,-0.240064936,-0.001585617,Oct,Nucleocytoviricota
CXD_1201_FDSW210423188-1r,0.121720191,0.036502433,Dec,Nucleocytoviricota
CXD_1202_FDSW210423189-1r,0.0388807,-0.058575272,Dec,Nucleocytoviricota
CXD_1203_FDSW210423190-1r,-0.149617916,-0.027077779,Dec,Nucleocytoviricota
CXD_1213_FDSW210423200-1r,-0.320135293,0.055624164,Dec,Nucleocytoviricota
CXD_1214_FDSW210423201-1r,-0.218404464,-0.016736878,Dec,Nucleocytoviricota
CXD_1215_FDSW210423202-1r,-0.002596054,-0.016422772,Dec,Nucleocytoviricota
CXD_1401_FDSW210423218-1r,0.034708667,-0.243277401,April,Nucleocytoviricota
CXD_1402_FDSW210423219-1r,0.091530875,-0.051740117,April,Nucleocytoviricota
CXD_1408_FDSW210423225-1r,-0.081533502,-0.283254731,April,Nucleocytoviricota
CXD_1412_FDSW210423229-1r,-0.095101208,-0.0035627,April,Nucleocytoviricota
CXD_1414_FDSW210423231-1r,-0.288246865,0.025856508,April,Nucleocytoviricota
CXD_1415_FDSW210423232-1r,-0.307043055,0.057485332,April,Nucleocytoviricota
CXD_1604_FDSW210423236-1r,-0.213568825,0.034981673,June,Nucleocytoviricota
CXD_1609_FDSW210423241-1r,-0.085517449,-0.13527228,June,Nucleocytoviricota
CXD_1610_FDSW210423242-1r,-0.139814443,0.280289772,June,Nucleocytoviricota
CXD_1611_FDSW210423243-1r,-0.128282572,0.248572569,June,Nucleocytoviricota
CXD_1612_FDSW210423244-1r,-0.124894207,0.29014082,June,Nucleocytoviricota
CXD_1613_FDSW210423245-1r,-0.070927889,0.285490102,June,Nucleocytoviricota
CXD_0204_FDSW210423206-1r,0.052880351,-0.076353391,Feb,Uroviricota
CXD_0209_FDSW210423211-1r,0.065536907,0.006171474,Feb,Uroviricota
CXD_0210_FDSW210423212-1r,0.034937662,0.007021476,Feb,Uroviricota
CXD_0213_FDSW210423215-1r,-0.006592444,-0.003156366,Feb,Uroviricota
CXD_0214_FDSW210423216-1r,0.02669187,0.008582272,Feb,Uroviricota
CXD_0215_FDSW210423217-1r,0.084468114,-0.037161787,Feb,Uroviricota
CXD_0801_FDSW210423161-1r,-0.292900553,-0.022719182,Aug,Uroviricota
CXD_0802_FDSW210423162-1r,-0.041838964,-0.024630669,Aug,Uroviricota
CXD_0803_FDSW210423163-1r,-0.104165506,-0.20316269,Aug,Uroviricota
CXD_0804_FDSW210423164-1r,-0.075115729,-0.179071919,Aug,Uroviricota
CXD_0805_FDSW210423165-1r,-0.079079682,-0.120556172,Aug,Uroviricota
CXD_0807_FDSW210423167-1r,-0.023334037,-0.099687926,Aug,Uroviricota
CXD_1001_FDSW210423173-1r,0.137409111,-0.037249492,Oct,Uroviricota
CXD_1003_FDSW210423175-1r,0.107889411,-0.04389371,Oct,Uroviricota
CXD_1004_FDSW210423176-1r,0.027092371,-0.10318306,Oct,Uroviricota
CXD_1007_FDSW210423179-1r,0.084853716,-0.037851101,Oct,Uroviricota
CXD_1009_FDSW210423181-1r,0.176929953,-0.040786295,Oct,Uroviricota
CXD_1015_FDSW210423187-1r,0.210607581,-0.002970145,Oct,Uroviricota
CXD_1201_FDSW210423188-1r,0.169492269,-0.03252047,Dec,Uroviricota
CXD_1202_FDSW210423189-1r,0.089189151,-0.005745418,Dec,Uroviricota
CXD_1203_FDSW210423190-1r,-0.041678436,0.053377809,Dec,Uroviricota
CXD_1213_FDSW210423200-1r,0.20193392,0.061359627,Dec,Uroviricota
CXD_1214_FDSW210423201-1r,0.215691459,0.029943359,Dec,Uroviricota
CXD_1215_FDSW210423202-1r,0.171026758,-0.012500615,Dec,Uroviricota
CXD_1401_FDSW210423218-1r,-0.482109954,0.018359598,April,Uroviricota
CXD_1402_FDSW210423219-1r,-0.271197331,0.016650755,April,Uroviricota
CXD_1408_FDSW210423225-1r,-0.445205021,0.003115848,April,Uroviricota
CXD_1412_FDSW210423229-1r,0.07431107,0.040627355,April,Uroviricota
CXD_1414_FDSW210423231-1r,0.195271844,0.023207,April,Uroviricota
CXD_1415_FDSW210423232-1r,0.196348774,0.059427423,April,Uroviricota
CXD_1604_FDSW210423236-1r,-0.205689324,0.14116468,June,Uroviricota
CXD_1609_FDSW210423241-1r,-0.18268338,-0.017583942,June,Uroviricota
CXD_1610_FDSW210423242-1r,0.014946161,0.16405805,June,Uroviricota
CXD_1611_FDSW210423243-1r,-0.041387701,0.17599186,June,Uroviricota
CXD_1612_FDSW210423244-1r,-0.031579423,0.143411879,June,Uroviricota
CXD_1613_FDSW210423245-1r,-0.012950967,0.148313887,June,Uroviricota
