,X,Y
C1_FDSW202534412,663970.5361,1292708.1
CXD_0204_FDSW210423206,663970.5361,1292708.1
CXD_0209_FDSW210423211,663970.5361,1292708.1
CXD_0210_FDSW210423212,663970.5361,1292708.1
CXD_0213_FDSW210423215,663970.5361,1292708.1
CXD_0214_FDSW210423216,663970.5361,1292708.1
CXD_0215_FDSW210423217,663970.5361,1292708.1
CXD_0801_FDSW210423161,663970.5361,1292708.1
CXD_0802_FDSW210423162,663970.5361,1292708.1
CXD_0803_FDSW210423163,663970.5361,1292708.1
CXD_0804_FDSW210423164,663970.5361,1292708.1
CXD_0805_FDSW210423165,663970.5361,1292708.1
CXD_0807_FDSW210423167,663970.5361,1292708.1
CXD_1001_FDSW210423173,663970.5361,1292708.1
CXD_1003_FDSW210423175,663970.5361,1292708.1
CXD_1004_FDSW210423176,663970.5361,1292708.1
CXD_1007_FDSW210423179,663970.5361,1292708.1
CXD_1009_FDSW210423181,663970.5361,1292708.1
CXD_1015_FDSW210423187,663970.5361,1292708.1
CXD_1201_FDSW210423188,663970.5361,1292708.1
CXD_1202_FDSW210423189,663970.5361,1292708.1
CXD_1203_FDSW210423190,663970.5361,1292708.1
CXD_1213_FDSW210423200,663970.5361,1292708.1
CXD_1214_FDSW210423201,663970.5361,1292708.1
CXD_1215_FDSW210423202,663970.5361,1292708.1
CXD_1401_FDSW210423218,663970.5361,1292708.1
CXD_1402_FDSW210423219,663970.5361,1292708.1
CXD_1408_FDSW210423225,663970.5361,1292708.1
CXD_1412_FDSW210423229,663970.5361,1292708.1
CXD_1414_FDSW210423231,663970.5361,1292708.1
CXD_1415_FDSW210423232,663970.5361,1292708.1
CXD_1604_FDSW210423236,663970.5361,1292708.1
CXD_1609_FDSW210423241,663970.5361,1292708.1
CXD_1610_FDSW210423242,663970.5361,1292708.1
CXD_1611_FDSW210423243,663970.5361,1292708.1
CXD_1612_FDSW210423244,663970.5361,1292708.1
CXD_1613_FDSW210423245,663970.5361,1292708.1
DD1_FDSW220008388,785216.4196,1620119.143
DD11_FDSW220008398,785216.4196,1620119.143
DD13_FDSW220008400,785216.4196,1620119.143
DD15_FDSW220008402,785216.4196,1620119.143
DD3_FDSW220008390,785216.4196,1620119.143
DD5_FDSW220008392,785216.4196,1620119.143
DD7_FDSW220008394,785216.4196,1620119.143
DD9_FDSW220008396,785216.4196,1620119.143
DY10_FDME210438608,712342.371,1115605.433
DY11_FDME210438609,712342.371,1115605.433
DY13_FDME210438611,712342.371,1115605.433
DY15_FDME210438613,712342.371,1115605.433
DY2_FDME210438600,712342.371,1115605.433
DY6_FDME210438604,712342.371,1115605.433
DY7_FDME210438605,712342.371,1115605.433
E10_FDSW202534389,663970.5361,1292708.1
E100_FDSW202534392,663970.5361,1292708.1
E150_FDSW202534393,663970.5361,1292708.1
E20_FDSW202534390,663970.5361,1292708.1
E5_FDSW202534388,663970.5361,1292708.1
E50_FDSW202534391,663970.5361,1292708.1
LYG1_FDME210455382,607249.3932,1120173.332
LYG11_FDME210455392,607249.3932,1120173.332
LYG13_FDME210455394,607249.3932,1120173.332
LYG3_FDME210455384,607249.3932,1120173.332
LYG5_FDME210455386,607249.3932,1120173.332
LYG6_FDME210455387,607249.3932,1120173.332
LYG7_FDME210455388,607249.3932,1120173.332
N10_FDSW202534407,663970.5361,1292708.1
N100_FDSW202534410,663970.5361,1292708.1
N150_FDSW202534411,663970.5361,1292708.1
N20_FDSW202534408,663970.5361,1292708.1
N5_FDSW202534406,663970.5361,1292708.1
N50_FDSW202534409,663970.5361,1292708.1
NB1_FDME210455352,422604.1137,1434870.247
NB11_FDME210455362,422604.1137,1434870.247
NB12_FDME210455363,422604.1137,1434870.247
NB15_FDME210455366,422604.1137,1434870.247
NB2_FDME210455353,422604.1137,1434870.247
NB4_FDME210455355,422604.1137,1434870.247
NB6_FDME210455357,422604.1137,1434870.247
NB7_FDME210455358,422604.1137,1434870.247
S10_FDSW202534395,663970.5361,1292708.1
S100_FDSW202534398,663970.5361,1292708.1
S150_FDSW202534399,663970.5361,1292708.1
S20_FDSW202534396,663970.5361,1292708.1
S5_FDSW202534394,663970.5361,1292708.1
S50_FDSW202534397,663970.5361,1292708.1
SY11_FDME210455407,0,58205.72961
SY12_FDME210455408,0,58205.72961
SY13_FDME210455409,0,58205.72961
SY15_FDME210455411,0,58205.72961
SY3_FDME210455399,0,58205.72961
SY7_FDME210455403,0,58205.72961
SY9_FDME210455405,0,58205.72961
W10_FDSW202534401,663970.5361,1292708.1
W100_FDSW202534404,663970.5361,1292708.1
W150_FDSW202534405,663970.5361,1292708.1
W20_FDSW202534402,663970.5361,1292708.1
W5_FDSW202534400,663970.5361,1292708.1
W50_FDSW202534403,663970.5361,1292708.1
WZ1_L1,350848.5327,1322328.073
WZ10_L1,350848.5327,1322328.073
WZ11_L1,350848.5327,1322328.073
WZ14_L1,350848.5327,1322328.073
WZ15_FDME210455471,350848.5327,1322328.073
WZ3_L1,350848.5327,1322328.073
WZ5_L1,350848.5327,1322328.073
WZ7_FDME210455463,350848.5327,1322328.073
YC1_FDME220007405,532004.0548,1317326.106
YC11_FDME220007415,532004.0548,1317326.106
YC13_FDME220007417,532004.0548,1317326.106
YC15_FDME220007419,532004.0548,1317326.106
YC3_FDME220007407,532004.0548,1317326.106
YC5_FDME220007409,532004.0548,1317326.106
YC7_FDME220007411,532004.0548,1317326.106
YC9_FDME220007413,532004.0548,1317326.106
ZH1_FDSW220008784,152703.1453,500288.0328
ZH11_FDSW220008794,152703.1453,500288.0328
ZH13_FDSW220008796,152703.1453,500288.0328
ZH15_FDSW220008798,152703.1453,500288.0328
ZH3_FDSW220008786,152703.1453,500288.0328
ZH5_FDSW220008788,152703.1453,500288.0328
ZH7_FDSW220008790,152703.1453,500288.0328
ZH9_FDSW220008792,152703.1453,500288.0328
